Data,Zainwestowano,Wartosc Portfela,SP500,AllWorld
2026-04-15,4000000,4200000,5100,120
2026-04-16,4000000,4180000,5080,119.5
2026-04-17,4000000,4250000,5120,121
2026-04-20,4000000,4210000,5105,120.2
2026-04-21,4100000,4320000,5110,120.5
2026-04-22,4100000,4380000,5150,122
2026-04-23,4100000,4370000,5145,121.8
2026-04-24,4100000,4400000,5180,123
2026-04-27,4100000,4420000,5200,123.5
2026-04-28,4100000,4390000,5190,122.8
2026-04-29,4100000,4450000,5220,124
2026-04-30,4100000,4430000,5210,123.8
2026-05-01,4100000,4460000,5230,124.5
2026-05-04,4100000,4480000,5250,125
2026-05-05,4200000,4590000,5260,125.5
2026-05-06,4200000,4610000,5280,126
2026-05-07,4200000,4580000,5270,125.8
2026-05-08,4200000,4650000,5300,127
2026-05-11,4200000,4630000,5290,126.5
2026-05-12,4200000,4660000,5310,127.5
2026-05-13,4200000,4680000,5320,128
2026-05-14,4200000,4650000,5305,127.2
2026-05-15,4200000,4608072,5280,126.8
